,epoch,train_loss,val_loss,val_accuracy,accuracy
1,1.0,0.5252422988414764,0.38251976668834686,0.8372844827586207,0.7537715517241379
2,2.0,0.38622580766677855,0.3249196708202362,0.8873922413793103,0.8353987068965518
3,3.0,0.32235118448734285,0.2981339320540428,0.9163523706896552,0.8688577586206897
4,4.0,0.2965757936239243,0.2952113598585129,0.8952047413793103,0.9002693965517242
5,5.0,0.2635717839002609,0.33149419724941254,0.8701508620689655,0.9107219827586206
6,6.0,0.23107329308986663,0.32054680585861206,0.8991109913793103,0.9235452586206897
7,7.0,0.26026947498321534,0.3868698626756668,0.8646282327586207,0.8966594827586206
8,8.0,0.2204619437456131,0.3416103795170784,0.8991109913793103,0.9246228448275862
9,9.0,0.2166430562734604,0.2896094545722008,0.9030172413793103,0.938739224137931
10,10.0,0.1915569081902504,0.3985626697540283,0.8607219827586207,0.9356142241379309
11,11.0,0.1735360652208328,0.35280440747737885,0.8912984913793103,0.9443426724137931
12,12.0,0.19000451266765594,0.38707830011844635,0.8411907327586207,0.9315193965517242
13,13.0,0.13657303154468536,0.4068518131971359,0.8952047413793103,0.9634159482758621
14,14.0,0.13896363377571105,0.5528190732002258,0.8333782327586207,0.9598060344827587
15,15.0,0.14413267076015474,0.38076355308294296,0.8912984913793103,0.9585668103448276
16,16.0,0.12644964158535005,0.3941054046154022,0.8646282327586207,0.9635775862068966
17,17.0,0.11195713579654694,0.42138683795928955,0.8952047413793103,0.968426724137931
18,18.0,0.0966488279402256,0.470947265625,0.8912984913793103,0.971551724137931
19,19.0,0.08742352798581124,0.5557869672775269,0.8333782327586207,0.9746767241379309
20,20.0,0.07744735032320023,0.4423447549343109,0.8779633620689655,0.9810883620689654
21,21.0,0.06628808565437794,0.4541376084089279,0.8740571120689655,0.9824892241379309
22,22.0,0.058409128338098526,0.4617338180541992,0.8991109913793103,0.9824892241379309
23,23.0,0.05851299166679382,0.49817901849746704,0.8701508620689655,0.979364224137931
24,24.0,0.06118852384388447,0.5486261248588562,0.8740571120689655,0.9868534482758621
25,25.0,0.02814875030890107,0.5575969815254211,0.8701508620689655,0.9953125
26,26.0,0.026313015073537827,0.5139019936323166,0.8584321120689655,0.990625
27,27.0,0.012207456678152085,0.5424480587244034,0.8952047413793103,0.996875
28,28.0,0.008798845019191504,0.8490512371063232,0.8161368534482758,0.996875
29,29.0,0.08902909681200981,0.6529756784439087,0.8818696120689655,0.984051724137931
30,30.0,0.020099156908690928,0.4531925171613693,0.8952047413793103,0.9935883620689655
